Abbreviation,Ortak Bütçe,Ortak Proje,Ortak Teknik Komite,Ortak Zirve,Ortak Yıllık Toplantı,"Ortak Etkinlik (Forum, konferans, vb.)",Ortak Eylem Planı,Ortak Deklarasyon,MoU,Finansal İşbirliği,Finansal Yardım,Teknoloji Transferi
Proliferation Security Initiative,0,0,0,0,0,0,0,0,0,0,0,0
Asia-Europe Meeting,0,0,0,0,0,0,0,0,0,0,0,0
ASEAN Plus Three,0,0,0,0,0,0,0,0,0,0,0,0
Western Mediterranean Forum,0,0,0,0,0,0,0,0,0,0,0,0
Africa-EU Strategic Partnership,0,0,0,0,0,0,0,0,0,0,0,0
Asia Cooperation Dialogue,0,0,0,0,0,0,0,0,0,0,0,0
Committee on Payments and Market Infrastructures,0,0,0,0,0,0,0,0,0,0,0,0
NAM (Non-Aligned),0,0,0,0,0,0,0,0,0,0,0,0
Global Forum on Migration and Development,0,0,0,0,0,0,0,0,0,0,0,0
East Asia Summit,0,0,0,0,0,0,0,0,0,0,0,0
Southeast European Cooperation Process,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico, Indonesia, Republic of Korea, Turkey and Australia",0,0,0,0,0,0,0,0,0,0,0,0
Nordic Defence Cooperation,0,0,0,0,0,0,0,0,0,0,0,0
Non-Proliferation and Disarmament Initiative,0,0,0,0,0,0,0,0,0,0,0,0
Australia Group,0,0,0,0,0,0,0,0,0,0,0,0
Group of Six (European Union),0,0,0,0,0,0,0,0,0,0,0,0
Group of 77,0,0,0,0,0,0,0,0,0,0,0,0
Club de Berne,0,0,0,0,0,0,0,0,0,0,0,0
CMCG (Central Med. Con. Grp.),0,0,0,0,0,0,0,0,0,0,0,0
SGF (Sahel Group 5),0,0,0,0,0,0,0,0,0,0,0,0
Missile Technology Control Regime,0,0,0,0,0,0,0,0,0,0,0,0
Energy and Climate Partnership of the Americas,0,0,0,0,0,0,0,0,0,0,0,0
Enhanced Partnership in Northern Europe,0,0,0,0,0,0,0,0,0,0,0,0
Nordic-Baltic Eight,0,0,0,0,0,0,0,0,0,0,0,0
Alliance of Small Island States,0,0,0,0,0,0,0,0,0,0,0,0
Forum on China-Africa Cooperation,0,0,0,0,0,0,0,0,0,0,0,0
NATO-Russia Council,0,0,0,0,0,0,0,0,0,0,0,0
Arraiolos Meeting,0,0,0,0,0,0,0,0,0,0,0,0
Quint,0,0,0,0,0,0,0,0,0,0,0,0
China–Arab States Cooperation Forum,0,0,0,0,0,0,0,0,0,0,0,0
Executives’ Meeting of East Asia-Pacific Central Banks,0,0,0,0,0,0,0,0,0,0,0,0
Craiova Group,0,0,0,0,0,0,0,0,0,0,0,0
